t=2025-08-20T17:25:04-0500 lvl=info msg="no configuration paths supplied"
t=2025-08-20T17:25:04-0500 lvl=info msg="using configuration at default config path" path=/home/new-msi/.config/ngrok/ngrok.yml
t=2025-08-20T17:25:04-0500 lvl=info msg="open config file" path=/home/new-msi/.config/ngrok/ngrok.yml err=nil
t=2025-08-20T17:25:06-0500 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-08-20T17:25:07-0500 lvl=info msg="client session established" obj=tunnels.session
t=2025-08-20T17:25:07-0500 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-08-20T17:25:07-0500 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3001 url=https://a6b7498d6b9d.ngrok-free.app
t=2025-08-20T17:39:07-0500 lvl=info msg="join connections" obj=join id=d140193997ba l=127.0.0.1:3001 r=108.213.112.254:56784
t=2025-08-20T17:39:28-0500 lvl=info msg="join connections" obj=join id=b286c3ebc88c l=127.0.0.1:3001 r=108.213.112.254:56784
t=2025-08-20T17:39:29-0500 lvl=info msg="join connections" obj=join id=3b4a0269e9e9 l=127.0.0.1:3001 r=108.213.112.254:56784
t=2025-08-20T17:39:29-0500 lvl=info msg="join connections" obj=join id=8c517386b76a l=127.0.0.1:3001 r=108.213.112.254:56784
t=2025-08-20T17:39:29-0500 lvl=info msg="join connections" obj=join id=b64e4b4e4a92 l=127.0.0.1:3001 r=108.213.112.254:56784
t=2025-08-20T17:39:29-0500 lvl=info msg="join connections" obj=join id=fb3ae477d23e l=127.0.0.1:3001 r=108.213.112.254:56784
t=2025-08-20T17:39:29-0500 lvl=info msg="join connections" obj=join id=dd3ac833d270 l=127.0.0.1:3001 r=108.213.112.254:56784
t=2025-08-20T17:39:29-0500 lvl=info msg="join connections" obj=join id=6ad244b854b8 l=127.0.0.1:3001 r=108.213.112.254:56784
t=2025-08-20T17:39:29-0500 lvl=info msg="join connections" obj=join id=64163deaa7f9 l=127.0.0.1:3001 r=108.213.112.254:56784
t=2025-08-20T17:39:29-0500 lvl=info msg="join connections" obj=join id=d87c39c6aa81 l=127.0.0.1:3001 r=108.213.112.254:56784
t=2025-08-20T17:39:29-0500 lvl=info msg="join connections" obj=join id=867a6f4519c3 l=127.0.0.1:3001 r=108.213.112.254:56784
t=2025-08-20T17:39:29-0500 lvl=info msg="join connections" obj=join id=12bf918a82d8 l=127.0.0.1:3001 r=108.213.112.254:56784
t=2025-08-20T17:39:29-0500 lvl=info msg="join connections" obj=join id=40617684e367 l=127.0.0.1:3001 r=108.213.112.254:56784
t=2025-08-20T17:39:30-0500 lvl=info msg="join connections" obj=join id=5c814c76731d l=127.0.0.1:3001 r=108.213.112.254:56784
t=2025-08-20T17:39:34-0500 lvl=info msg="join connections" obj=join id=c8484292757a l=127.0.0.1:3001 r=108.213.112.254:53443
t=2025-08-20T17:39:34-0500 lvl=info msg="join connections" obj=join id=511d3d895bb6 l=127.0.0.1:3001 r=108.213.112.254:59080
t=2025-08-20T17:39:34-0500 lvl=info msg="join connections" obj=join id=a634605af1f1 l=127.0.0.1:3001 r=108.213.112.254:59080
t=2025-08-20T17:39:34-0500 lvl=info msg="join connections" obj=join id=25837528052a l=127.0.0.1:3001 r=108.213.112.254:59080
t=2025-08-20T17:39:34-0500 lvl=info msg="join connections" obj=join id=b3cf118ce893 l=127.0.0.1:3001 r=108.213.112.254:59080
t=2025-08-20T17:39:46-0500 lvl=info msg="join connections" obj=join id=b4d78c60c1d3 l=127.0.0.1:3001 r=108.213.112.254:59080
t=2025-08-20T17:42:07-0500 lvl=info msg="join connections" obj=join id=52712a57ca3d l=127.0.0.1:3001 r=108.213.112.254:59080
t=2025-08-20T17:42:07-0500 lvl=info msg="join connections" obj=join id=78459b78cc26 l=127.0.0.1:3001 r=108.213.112.254:59080
t=2025-08-20T17:43:07-0500 lvl=info msg="join connections" obj=join id=1368e8d508e1 l=127.0.0.1:3001 r=108.213.112.254:59080
t=2025-08-20T17:43:08-0500 lvl=info msg="join connections" obj=join id=39f281159644 l=127.0.0.1:3001 r=108.213.112.254:53664
t=2025-08-20T17:44:07-0500 lvl=info msg="join connections" obj=join id=da99450f4b0e l=127.0.0.1:3001 r=108.213.112.254:53664
t=2025-08-20T17:44:08-0500 lvl=info msg="join connections" obj=join id=94c9411d7ae0 l=127.0.0.1:3001 r=108.213.112.254:57544
t=2025-08-20T17:45:07-0500 lvl=info msg="join connections" obj=join id=0adde1226f9a l=127.0.0.1:3001 r=108.213.112.254:57544
t=2025-08-20T17:46:07-0500 lvl=info msg="join connections" obj=join id=c09e8b57b760 l=127.0.0.1:3001 r=108.213.112.254:57544
t=2025-08-20T17:47:07-0500 lvl=info msg="join connections" obj=join id=7ee04894e47f l=127.0.0.1:3001 r=108.213.112.254:57544
t=2025-08-20T17:47:07-0500 lvl=info msg="join connections" obj=join id=3dd177c99338 l=127.0.0.1:3001 r=108.213.112.254:57544
t=2025-08-20T17:47:08-0500 lvl=info msg="join connections" obj=join id=af1a2b21da61 l=127.0.0.1:3001 r=108.213.112.254:52418
t=2025-08-20T17:50:07-0500 lvl=info msg="join connections" obj=join id=2ac3712ba5dc l=127.0.0.1:3001 r=108.213.112.254:52418
t=2025-08-20T17:50:08-0500 lvl=info msg="join connections" obj=join id=aad6b7f25a84 l=127.0.0.1:3001 r=108.213.112.254:54771
t=2025-08-20T17:51:07-0500 lvl=info msg="join connections" obj=join id=c2ffe459f067 l=127.0.0.1:3001 r=108.213.112.254:49919
t=2025-08-20T17:51:44-0500 lvl=info msg="join connections" obj=join id=e183f6bc9811 l=127.0.0.1:3001 r=108.213.112.254:49919
t=2025-08-20T17:52:07-0500 lvl=info msg="join connections" obj=join id=a55c4460d672 l=127.0.0.1:3001 r=108.213.112.254:49919
t=2025-08-20T17:53:07-0500 lvl=info msg="join connections" obj=join id=52db8faa313c l=127.0.0.1:3001 r=108.213.112.254:63133
t=2025-08-20T17:53:58-0500 lvl=info msg="join connections" obj=join id=eb32c3a4e3e8 l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:53:58-0500 lvl=info msg="join connections" obj=join id=6284bef0c561 l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:53:58-0500 lvl=info msg="join connections" obj=join id=0ad5e1a53dfa l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:53:58-0500 lvl=info msg="join connections" obj=join id=34369d797fb3 l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:53:58-0500 lvl=info msg="join connections" obj=join id=91483465778a l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:53:58-0500 lvl=info msg="join connections" obj=join id=c2e2ad22ce6c l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:53:58-0500 lvl=info msg="join connections" obj=join id=298d8846e678 l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:53:58-0500 lvl=info msg="join connections" obj=join id=aa2a4f633865 l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:53:58-0500 lvl=info msg="join connections" obj=join id=352cbae7fac8 l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:53:58-0500 lvl=info msg="join connections" obj=join id=45ab6d72a9f2 l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:53:59-0500 lvl=info msg="join connections" obj=join id=53e3b6641650 l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:53:59-0500 lvl=info msg="join connections" obj=join id=29d5f21488a8 l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:54:03-0500 lvl=info msg="join connections" obj=join id=778449882a2c l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50672
t=2025-08-20T17:54:03-0500 lvl=info msg="join connections" obj=join id=8c2fda62b73b l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:54:07-0500 lvl=info msg="join connections" obj=join id=2f32b02eeddd l=127.0.0.1:3001 r=108.213.112.254:59027
t=2025-08-20T17:54:22-0500 lvl=info msg="join connections" obj=join id=b39b2f898cf2 l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:54:22-0500 lvl=info msg="join connections" obj=join id=f6d603a6b7a4 l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:54:22-0500 lvl=info msg="join connections" obj=join id=efea0c7f2c87 l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:55:04-0500 lvl=info msg="join connections" obj=join id=977c96347b34 l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:55:07-0500 lvl=info msg="join connections" obj=join id=93b30f387d56 l=127.0.0.1:3001 r=108.213.112.254:59027
t=2025-08-20T17:56:07-0500 lvl=info msg="join connections" obj=join id=a1985f5c8a12 l=127.0.0.1:3001 r=108.213.112.254:59027
t=2025-08-20T17:57:07-0500 lvl=info msg="join connections" obj=join id=f77710ef7d2d l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:57:07-0500 lvl=info msg="join connections" obj=join id=1c1e6d7e9929 l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:57:07-0500 lvl=info msg="join connections" obj=join id=d6743cd0c7bc l=127.0.0.1:3001 r=108.213.112.254:58594
t=2025-08-20T17:57:53-0500 lvl=info msg="join connections" obj=join id=3a2b5897ed9e l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:57:53-0500 lvl=info msg="join connections" obj=join id=3979ecb86e08 l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:57:53-0500 lvl=info msg="join connections" obj=join id=c591d3bee6c5 l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:57:53-0500 lvl=info msg="join connections" obj=join id=cc2518fab7c2 l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:58:07-0500 lvl=info msg="join connections" obj=join id=8c657d1c8ed7 l=127.0.0.1:3001 r=108.213.112.254:58594
t=2025-08-20T17:59:07-0500 lvl=info msg="join connections" obj=join id=e1e3227d742e l=127.0.0.1:3001 r=108.213.112.254:60527
t=2025-08-20T17:59:07-0500 lvl=info msg="join connections" obj=join id=8b5447b29a8f l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:59:12-0500 lvl=info msg="join connections" obj=join id=ecb5c08c0559 l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:59:13-0500 lvl=info msg="join connections" obj=join id=aed8b5c7e44c l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T17:59:21-0500 lvl=info msg="join connections" obj=join id=cd6831151364 l=127.0.0.1:3001 r=108.213.112.254:60527
t=2025-08-20T18:00:07-0500 lvl=info msg="join connections" obj=join id=92b26b7e62b8 l=127.0.0.1:3001 r=108.213.112.254:62252
t=2025-08-20T18:00:07-0500 lvl=info msg="join connections" obj=join id=0b048d8ccfa3 l=127.0.0.1:3001 r=108.213.112.254:62252
t=2025-08-20T18:00:26-0500 lvl=info msg="join connections" obj=join id=e0a360b9d85a l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T18:00:30-0500 lvl=info msg="join connections" obj=join id=535732db229f l=127.0.0.1:3001 r=108.213.112.254:62252
t=2025-08-20T18:00:30-0500 lvl=info msg="join connections" obj=join id=b531b1e1553d l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T18:00:40-0500 lvl=info msg="join connections" obj=join id=166e1972b1a4 l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T18:01:07-0500 lvl=info msg="join connections" obj=join id=2f39850f242c l=127.0.0.1:3001 r=108.213.112.254:62252
t=2025-08-20T18:01:07-0500 lvl=info msg="join connections" obj=join id=8c2a74018565 l=127.0.0.1:3001 r=108.213.112.254:62252
t=2025-08-20T18:01:39-0500 lvl=info msg="join connections" obj=join id=17e6882219b1 l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T18:01:45-0500 lvl=info msg="join connections" obj=join id=b4b2ec0b8f2e l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50633
t=2025-08-20T18:01:45-0500 lvl=info msg="join connections" obj=join id=e1112ad24f1e l=127.0.0.1:3001 r=[2600:1700:e900:52e0:c95d:25a2:8ffb:a650]:50280
t=2025-08-20T18:02:07-0500 lvl=info msg="join connections" obj=join id=643808970756 l=127.0.0.1:3001 r=108.213.112.254:62252
t=2025-08-20T18:03:07-0500 lvl=info msg="join connections" obj=join id=4da66fba3165 l=127.0.0.1:3001 r=108.213.112.254:62252
t=2025-08-20T18:03:08-0500 lvl=info msg="join connections" obj=join id=5cd730824d73 l=127.0.0.1:3001 r=108.213.112.254:50797
t=2025-08-20T18:04:07-0500 lvl=info msg="join connections" obj=join id=229e031509db l=127.0.0.1:3001 r=108.213.112.254:50797
t=2025-08-20T18:05:07-0500 lvl=info msg="join connections" obj=join id=0dd5c8b39a8d l=127.0.0.1:3001 r=108.213.112.254:50797
t=2025-08-20T18:06:07-0500 lvl=info msg="join connections" obj=join id=77852c411b2c l=127.0.0.1:3001 r=108.213.112.254:50797
t=2025-08-20T18:09:07-0500 lvl=info msg="join connections" obj=join id=2f9c3f6c9221 l=127.0.0.1:3001 r=108.213.112.254:50797
t=2025-08-20T18:09:07-0500 lvl=info msg="join connections" obj=join id=fd99594e934e l=127.0.0.1:3001 r=108.213.112.254:50797
t=2025-08-20T18:10:07-0500 lvl=info msg="join connections" obj=join id=58b52a031765 l=127.0.0.1:3001 r=108.213.112.254:50797
t=2025-08-20T18:11:07-0500 lvl=info msg="join connections" obj=join id=587112bff2b5 l=127.0.0.1:3001 r=108.213.112.254:50797
t=2025-08-20T18:12:07-0500 lvl=info msg="join connections" obj=join id=1aca9c94e6f9 l=127.0.0.1:3001 r=108.213.112.254:50797
t=2025-08-20T18:13:07-0500 lvl=info msg="join connections" obj=join id=cb51e40e088c l=127.0.0.1:3001 r=108.213.112.254:50797
t=2025-08-20T18:14:07-0500 lvl=info msg="join connections" obj=join id=ac211b60847e l=127.0.0.1:3001 r=108.213.112.254:50797
t=2025-08-20T18:15:07-0500 lvl=info msg="join connections" obj=join id=bef620f8c61b l=127.0.0.1:3001 r=108.213.112.254:50797
t=2025-08-20T18:15:08-0500 lvl=info msg="join connections" obj=join id=8e878a5819ed l=127.0.0.1:3001 r=108.213.112.254:59711
t=2025-08-20T18:16:07-0500 lvl=info msg="join connections" obj=join id=3b2f92b6188d l=127.0.0.1:3001 r=108.213.112.254:54434
t=2025-08-20T18:17:07-0500 lvl=info msg="join connections" obj=join id=3b3572d6f3c7 l=127.0.0.1:3001 r=108.213.112.254:54434
